utterance_id,emotion,speaker,session,g_text,g_audio,gate_sum,gate_preference,F_epistemic_pull,F_privacy_pressure,F_computational_drag,F_action_efficiency,emotion_uncertainty
Ses01F_impro01_F000,neu,Ses01F,Ses01,0.6542959388150444,0.29545768964484476,0.9497536284598892,text-preferred,0.5691630281444081,0.8920918997793779,0.16748790513370265,0.578197437861472,0.30850637172884543
Ses01F_impro01_F001,neu,Ses01F,Ses01,0.6653487843784758,0.28230676582527947,0.9476555502037552,text-preferred,0.9568671622259651,0.9889347064621619,0.17448149932081547,0.9865102548964951,0.03088684205734823
Ses01F_impro01_F002,neu,Ses01F,Ses01,0.6253947825827998,0.31016285524749915,0.935557637830299,text-preferred,0.9593716608270824,0.8329525502415902,0.21480787389900388,0.9865390714635169,0.029093470095111654
Ses01F_impro01_F005,neu,Ses01F,Ses01,0.6591255864715078,0.2785631497631559,0.9376887362346636,text-preferred,0.49898269137906415,0.9617557649310576,0.20770421255112093,0.6495544940521896,0.3587597231178805
Ses01F_impro01_F006,fru,Ses01F,Ses01,0.6240998184851223,0.263897938775595,0.8879977572607173,text-preferred,0.9986906388128098,0.9940388030692378,0.3733408091309423,0.9997343717211951,0.0009387118245553481
Ses01F_impro01_F007,fru,Ses01F,Ses01,0.5968144180488414,0.28436349827852386,0.8811779163273652,text-preferred,0.9793483116832701,0.8738700103957358,0.39607361224211535,0.9936198965026789,0.014788983948105837
Ses01F_impro01_F008,fru,Ses01F,Ses01,0.6232739442400212,0.27901439650323656,0.9022883407432578,text-preferred,0.8163249783272437,0.9274729653742452,0.3257055308558075,0.9084045976716716,0.13152351719984354
Ses01F_impro01_F009,fru,Ses01F,Ses01,0.5468888065518906,0.3534647083713874,0.900353514923278,text-preferred,0.9498478143101173,0.5677136235680281,0.33215495025573955,0.9830155572009928,0.035913118270818625
Ses01F_impro01_F011,fru,Ses01F,Ses01,0.607680477095846,0.2787290540031314,0.8864095310989775,text-preferred,0.9648528705323823,0.9114027328588088,0.3786348963367417,0.9898839982055246,0.025168593554857528
Ses01F_impro01_F012,ang,Ses01F,Ses01,0.6720656625881096,0.2809837794105427,0.9530494419986524,text-preferred,0.8946162473858483,0.9999816972530604,0.15650186000449237,0.9487603902594789,0.0754622493856029
Ses01F_impro01_F013,fru,Ses01F,Ses01,0.6474540266683432,0.261994697994913,0.9094487246632561,text-preferred,0.1407814930124178,0.9766054711569382,0.3018375844558124,0.32219435878154395,0.61525337246699
Ses01F_impro01_F014,neu,Ses01F,Ses01,0.6595327326074493,0.2763046083924651,0.9358373409999143,text-preferred,0.9207380971482414,0.9998703000352109,0.21387553000028542,0.9701435832122548,0.0567574304071714
Ses01F_impro01_F015,fru,Ses01F,Ses01,0.5949086405369438,0.26928853216268805,0.8641971726996318,text-preferred,0.6439882433514565,0.9071871891443939,0.4526760910012272,0.8195260853644378,0.2549270073958885
Ses01F_impro01_M000,fru,Ses01F,Ses01,0.6364038444306112,0.2663445110725091,0.9027483555031203,text-preferred,0.8862581913151171,0.9990971721756187,0.3241721483229325,0.9531115877728222,0.08144712133137458
Ses01F_impro01_M001,fru,Ses01F,Ses01,0.606215674313157,0.2941032804819859,0.9003189547951429,text-preferred,0.5697505283921828,0.8338871947059477,0.3322701506828569,0.7808993887581619,0.30808568613864545
Ses01F_impro01_M002,fru,Ses01F,Ses01,0.6854392257797649,0.2919553477007906,0.9773945734805556,text-preferred,0.8195310900037768,0.9784006505313817,0.07535142173148161,0.9253664216783737,0.12922774798442901
Ses01F_impro01_M003,fru,Ses01F,Ses01,0.6428495018924123,0.2776662854144396,0.9205157873068519,text-preferred,0.9967061877939541,0.9727096039176435,0.26494737564382703,0.999218268898156,0.0023596983709482985
Ses01F_impro01_M004,fru,Ses01F,Ses01,0.583494388178846,0.2931086602837952,0.8766030484626413,text-preferred,0.9420911388605925,0.819344573750252,0.4113231717911962,0.9792385066782057,0.04146736544234502
Ses01F_impro01_M005,fru,Ses01F,Ses01,0.6178739750315162,0.2678298821600972,0.8857038571916134,text-preferred,0.9999328073381485,0.9692639385274386,0.3809871426946221,0.9999894983245168,4.9244286134114054e-05
