utterance_id,emotion,speaker,session,g_text_calibrated,g_audio_calibrated,gate_sum_calibrated,gate_preference_calibrated
Ses01F_impro01_F000,neu,Ses01F,Ses01,0.6564697693239424,0.29328385913594684,0.9497536284598893,text-preferred
Ses01F_impro01_F001,neu,Ses01F,Ses01,0.6719800212150713,0.27567552898868414,0.9476555502037554,text-preferred
Ses01F_impro01_F002,neu,Ses01F,Ses01,0.6316922610639716,0.3038653767663273,0.9355576378302989,text-preferred
Ses01F_impro01_F005,neu,Ses01F,Ses01,0.6635570939294766,0.27413164230518705,0.9376887362346636,text-preferred
Ses01F_impro01_F006,fru,Ses01F,Ses01,0.6261309861658966,0.2618667710948207,0.8879977572607173,text-preferred
Ses01F_impro01_F007,fru,Ses01F,Ses01,0.6010760357827198,0.28010188054464563,0.8811779163273654,text-preferred
Ses01F_impro01_F008,fru,Ses01F,Ses01,0.6286789094816253,0.2736094312616324,0.9022883407432577,text-preferred
Ses01F_impro01_F009,fru,Ses01F,Ses01,0.5540068658940126,0.34634664902926576,0.9003535149232784,text-preferred
Ses01F_impro01_F011,fru,Ses01F,Ses01,0.6146218666217825,0.2717876644771948,0.8864095310989774,text-preferred
Ses01F_impro01_F012,ang,Ses01F,Ses01,0.6762335593302646,0.27681588266838764,0.9530494419986523,text-preferred
Ses01F_impro01_F013,fru,Ses01F,Ses01,0.6480966068352672,0.26135211782798917,0.9094487246632563,text-preferred
Ses01F_impro01_F014,neu,Ses01F,Ses01,0.6654861444614211,0.27035119653849343,0.9358373409999146,text-preferred
Ses01F_impro01_F015,fru,Ses01F,Ses01,0.6010783524970017,0.2631188202026301,0.8641971726996318,text-preferred
Ses01F_impro01_M000,fru,Ses01F,Ses01,0.6425980499186876,0.26015030558443264,0.9027483555031203,text-preferred
Ses01F_impro01_M001,fru,Ses01F,Ses01,0.6133441196873683,0.28697483510777466,0.900318954795143,text-preferred
Ses01F_impro01_M002,fru,Ses01F,Ses01,0.6941761126781621,0.2832184608023934,0.9773945734805556,text-preferred
Ses01F_impro01_M003,fru,Ses01F,Ses01,0.6450052108276244,0.27551057647922755,0.9205157873068519,text-preferred
Ses01F_impro01_M004,fru,Ses01F,Ses01,0.5893787333657924,0.28722431509684876,0.8766030484626411,text-preferred
Ses01F_impro01_M005,fru,Ses01F,Ses01,0.6179917094608086,0.26771214773080476,0.8857038571916134,text-preferred
Ses01F_impro01_M006,fru,Ses01F,Ses01,0.5992501967278568,0.3104332255643223,0.9096834222921791,text-preferred
Ses01F_impro01_M007,fru,Ses01F,Ses01,0.6205497740430591,0.26938652584780687,0.889936299890866,text-preferred
Ses01F_impro01_M008,fru,Ses01F,Ses01,0.6248658657318553,0.3046929173865254,0.9295587831183807,text-preferred
Ses01F_impro01_M009,fru,Ses01F,Ses01,0.5410730850892131,0.38218388039948015,0.9232569654886933,text-preferred
Ses01F_impro01_M010,fru,Ses01F,Ses01,0.5426006228281455,0.34041124923125965,0.8830118720594051,text-preferred
Ses01F_impro01_M011,ang,Ses01F,Ses01,0.6354152333293713,0.2710053514142331,0.9064205847436044,text-preferred
Ses01F_impro01_M013,ang,Ses01F,Ses01,0.5530991104605284,0.36476807683351403,0.9178671872940425,text-preferred
Ses01F_impro02_F000,sad,Ses01F,Ses01,0.6605202737343538,0.2635846874901945,0.9241049612245483,text-preferred
Ses01F_impro02_F001,sad,Ses01F,Ses01,0.6413167287500234,0.2652194772039593,0.9065362059539828,text-preferred
